"STATISTIC","Statistic Label","TLIST(A1)","Year","C02276V02746","Domestic","C02599V03153","Reason for Journey","UNIT","VALUE"
"HTA01C2","Number of Nights by Irish Residents","2000","2000","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2000","2000","02","Outbound","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2000","2000","02","Outbound","08","Other reasons","Thousand","2810"
"HTA01C2","Number of Nights by Irish Residents","2001","2001","01","Domestic","-","All reasons for journey","Thousand","23207"
"HTA01C2","Number of Nights by Irish Residents","2001","2001","01","Domestic","01","Holiday","Thousand","13227"
"HTA01C2","Number of Nights by Irish Residents","2001","2001","01","Domestic","02","Business","Thousand","1778"
"HTA01C2","Number of Nights by Irish Residents","2001","2001","01","Domestic","03","Visiting friends/relatives","Thousand","5823"
"HTA01C2","Number of Nights by Irish Residents","2001","2001","01","Domestic","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2001","2001","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2001","2001","01","Domestic","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2001","2001","01","Domestic","08","Other reasons","Thousand","2380"
"HTA01C2","Number of Nights by Irish Residents","2001","2001","02","Outbound","-","All reasons for journey","Thousand","37953"
"HTA01C2","Number of Nights by Irish Residents","2001","2001","02","Outbound","01","Holiday","Thousand","26786"
"HTA01C2","Number of Nights by Irish Residents","2001","2001","02","Outbound","02","Business","Thousand","3462"
"HTA01C2","Number of Nights by Irish Residents","2001","2001","02","Outbound","03","Visiting friends/relatives","Thousand","5175"
"HTA01C2","Number of Nights by Irish Residents","2001","2001","02","Outbound","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2001","2001","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2001","2001","02","Outbound","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2001","2001","02","Outbound","08","Other reasons","Thousand","2530"
"HTA01C2","Number of Nights by Irish Residents","2002","2002","01","Domestic","-","All reasons for journey","Thousand","22222"
"HTA01C2","Number of Nights by Irish Residents","2002","2002","01","Domestic","01","Holiday","Thousand","12098"
"HTA01C2","Number of Nights by Irish Residents","2002","2002","01","Domestic","02","Business","Thousand","1633"
"HTA01C2","Number of Nights by Irish Residents","2002","2002","01","Domestic","03","Visiting friends/relatives","Thousand","6120"
"HTA01C2","Number of Nights by Irish Residents","2002","2002","01","Domestic","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2002","2002","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2002","2002","01","Domestic","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2002","2002","01","Domestic","08","Other reasons","Thousand","2371"
"HTA01C2","Number of Nights by Irish Residents","2002","2002","02","Outbound","-","All reasons for journey","Thousand","40660"
"HTA01C2","Number of Nights by Irish Residents","2002","2002","02","Outbound","01","Holiday","Thousand","28353"
"HTA01C2","Number of Nights by Irish Residents","2002","2002","02","Outbound","02","Business","Thousand","3163"
"HTA01C2","Number of Nights by Irish Residents","2002","2002","02","Outbound","03","Visiting friends/relatives","Thousand","6415"
"HTA01C2","Number of Nights by Irish Residents","2002","2002","02","Outbound","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2002","2002","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2002","2002","02","Outbound","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2002","2002","02","Outbound","08","Other reasons","Thousand","2730"
"HTA01C2","Number of Nights by Irish Residents","2003","2003","01","Domestic","-","All reasons for journey","Thousand","23616"
"HTA01C2","Number of Nights by Irish Residents","2003","2003","01","Domestic","01","Holiday","Thousand","13009"
"HTA01C2","Number of Nights by Irish Residents","2003","2003","01","Domestic","02","Business","Thousand","1788"
"HTA01C2","Number of Nights by Irish Residents","2003","2003","01","Domestic","03","Visiting friends/relatives","Thousand","6509"
"HTA01C2","Number of Nights by Irish Residents","2003","2003","01","Domestic","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2003","2003","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2003","2003","01","Domestic","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2003","2003","01","Domestic","08","Other reasons","Thousand","2310"
"HTA01C2","Number of Nights by Irish Residents","2003","2003","02","Outbound","-","All reasons for journey","Thousand","43702"
"HTA01C2","Number of Nights by Irish Residents","2003","2003","02","Outbound","01","Holiday","Thousand","31115"
"HTA01C2","Number of Nights by Irish Residents","2003","2003","02","Outbound","02","Business","Thousand","3421"
"HTA01C2","Number of Nights by Irish Residents","2003","2003","02","Outbound","03","Visiting friends/relatives","Thousand","6150"
"HTA01C2","Number of Nights by Irish Residents","2003","2003","02","Outbound","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2003","2003","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2003","2003","02","Outbound","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2003","2003","02","Outbound","08","Other reasons","Thousand","3015"
"HTA01C2","Number of Nights by Irish Residents","2004","2004","01","Domestic","-","All reasons for journey","Thousand","24189"
"HTA01C2","Number of Nights by Irish Residents","2004","2004","01","Domestic","01","Holiday","Thousand","13506"
"HTA01C2","Number of Nights by Irish Residents","2004","2004","01","Domestic","02","Business","Thousand","1665"
"HTA01C2","Number of Nights by Irish Residents","2004","2004","01","Domestic","03","Visiting friends/relatives","Thousand","6478"
"HTA01C2","Number of Nights by Irish Residents","2004","2004","01","Domestic","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2004","2004","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2004","2004","01","Domestic","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2004","2004","01","Domestic","08","Other reasons","Thousand","2540"
"HTA01C2","Number of Nights by Irish Residents","2004","2004","02","Outbound","-","All reasons for journey","Thousand","46302"
"HTA01C2","Number of Nights by Irish Residents","2004","2004","02","Outbound","01","Holiday","Thousand","33692"
"HTA01C2","Number of Nights by Irish Residents","2004","2004","02","Outbound","02","Business","Thousand","3430"
"HTA01C2","Number of Nights by Irish Residents","2004","2004","02","Outbound","03","Visiting friends/relatives","Thousand","6906"
"HTA01C2","Number of Nights by Irish Residents","2004","2004","02","Outbound","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2004","2004","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2004","2004","02","Outbound","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2004","2004","02","Outbound","08","Other reasons","Thousand","2274"
"HTA01C2","Number of Nights by Irish Residents","2005","2005","01","Domestic","-","All reasons for journey","Thousand","24607"
"HTA01C2","Number of Nights by Irish Residents","2005","2005","01","Domestic","01","Holiday","Thousand","13676"
"HTA01C2","Number of Nights by Irish Residents","2005","2005","01","Domestic","02","Business","Thousand","1973"
"HTA01C2","Number of Nights by Irish Residents","2005","2005","01","Domestic","03","Visiting friends/relatives","Thousand","6535"
"HTA01C2","Number of Nights by Irish Residents","2005","2005","01","Domestic","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2005","2005","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2005","2005","01","Domestic","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2005","2005","01","Domestic","08","Other reasons","Thousand","2422"
"HTA01C2","Number of Nights by Irish Residents","2005","2005","02","Outbound","-","All reasons for journey","Thousand","51503"
"HTA01C2","Number of Nights by Irish Residents","2005","2005","02","Outbound","01","Holiday","Thousand","36714"
"HTA01C2","Number of Nights by Irish Residents","2005","2005","02","Outbound","02","Business","Thousand","3870"
"HTA01C2","Number of Nights by Irish Residents","2005","2005","02","Outbound","03","Visiting friends/relatives","Thousand","7706"
"HTA01C2","Number of Nights by Irish Residents","2005","2005","02","Outbound","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2005","2005","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2005","2005","02","Outbound","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2005","2005","02","Outbound","08","Other reasons","Thousand","3211"
"HTA01C2","Number of Nights by Irish Residents","2006","2006","01","Domestic","-","All reasons for journey","Thousand","24203"
"HTA01C2","Number of Nights by Irish Residents","2006","2006","01","Domestic","01","Holiday","Thousand","14374"
"HTA01C2","Number of Nights by Irish Residents","2006","2006","01","Domestic","02","Business","Thousand","2080"
"HTA01C2","Number of Nights by Irish Residents","2006","2006","01","Domestic","03","Visiting friends/relatives","Thousand","6168"
"HTA01C2","Number of Nights by Irish Residents","2006","2006","01","Domestic","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2006","2006","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2006","2006","01","Domestic","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2006","2006","01","Domestic","08","Other reasons","Thousand","1581"
"HTA01C2","Number of Nights by Irish Residents","2006","2006","02","Outbound","-","All reasons for journey","Thousand","54266"
"HTA01C2","Number of Nights by Irish Residents","2006","2006","02","Outbound","01","Holiday","Thousand","38884"
"HTA01C2","Number of Nights by Irish Residents","2006","2006","02","Outbound","02","Business","Thousand","4282"
"HTA01C2","Number of Nights by Irish Residents","2006","2006","02","Outbound","03","Visiting friends/relatives","Thousand","9063"
"HTA01C2","Number of Nights by Irish Residents","2006","2006","02","Outbound","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2006","2006","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2006","2006","02","Outbound","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2006","2006","02","Outbound","08","Other reasons","Thousand","2037"
"HTA01C2","Number of Nights by Irish Residents","2007","2007","01","Domestic","-","All reasons for journey","Thousand","26328"
"HTA01C2","Number of Nights by Irish Residents","2007","2007","01","Domestic","01","Holiday","Thousand","16359"
"HTA01C2","Number of Nights by Irish Residents","2007","2007","01","Domestic","02","Business","Thousand","1771"
"HTA01C2","Number of Nights by Irish Residents","2007","2007","01","Domestic","03","Visiting friends/relatives","Thousand","6587"
"HTA01C2","Number of Nights by Irish Residents","2007","2007","01","Domestic","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2007","2007","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2007","2007","01","Domestic","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2007","2007","01","Domestic","08","Other reasons","Thousand","1611"
"HTA01C2","Number of Nights by Irish Residents","2007","2007","02","Outbound","-","All reasons for journey","Thousand","62236"
"HTA01C2","Number of Nights by Irish Residents","2007","2007","02","Outbound","01","Holiday","Thousand","47019"
"HTA01C2","Number of Nights by Irish Residents","2007","2007","02","Outbound","02","Business","Thousand","3669"
"HTA01C2","Number of Nights by Irish Residents","2007","2007","02","Outbound","03","Visiting friends/relatives","Thousand","9304"
"HTA01C2","Number of Nights by Irish Residents","2007","2007","02","Outbound","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2007","2007","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2007","2007","02","Outbound","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2007","2007","02","Outbound","08","Other reasons","Thousand","2244"
"HTA01C2","Number of Nights by Irish Residents","2008","2008","01","Domestic","-","All reasons for journey","Thousand","26195"
"HTA01C2","Number of Nights by Irish Residents","2008","2008","01","Domestic","01","Holiday","Thousand","15654"
"HTA01C2","Number of Nights by Irish Residents","2008","2008","01","Domestic","02","Business","Thousand","1573"
"HTA01C2","Number of Nights by Irish Residents","2008","2008","01","Domestic","03","Visiting friends/relatives","Thousand","6969"
"HTA01C2","Number of Nights by Irish Residents","2008","2008","01","Domestic","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2008","2008","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2008","2008","01","Domestic","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2008","2008","01","Domestic","08","Other reasons","Thousand","2000"
"HTA01C2","Number of Nights by Irish Residents","2008","2008","02","Outbound","-","All reasons for journey","Thousand","63498"
"HTA01C2","Number of Nights by Irish Residents","2008","2008","02","Outbound","01","Holiday","Thousand","46229"
"HTA01C2","Number of Nights by Irish Residents","2008","2008","02","Outbound","02","Business","Thousand","4133"
"HTA01C2","Number of Nights by Irish Residents","2008","2008","02","Outbound","03","Visiting friends/relatives","Thousand","10400"
"HTA01C2","Number of Nights by Irish Residents","2008","2008","02","Outbound","04","Education and training","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2008","2008","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2008","2008","02","Outbound","07","Sporting events","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2008","2008","02","Outbound","08","Other reasons","Thousand","2736"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","01","Domestic","-","All reasons for journey","Thousand","26027"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","01","Domestic","01","Holiday","Thousand","14320"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","01","Domestic","02","Business","Thousand","1437"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","01","Domestic","03","Visiting friends/relatives","Thousand","6868"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","01","Domestic","04","Education and training","Thousand","1175"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2009","2009","01","Domestic","07","Sporting events","Thousand","561"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","01","Domestic","08","Other reasons","Thousand","1664"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","02","Outbound","-","All reasons for journey","Thousand","55667"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","02","Outbound","01","Holiday","Thousand","37869"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","02","Outbound","02","Business","Thousand","2961"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","02","Outbound","03","Visiting friends/relatives","Thousand","10358"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","02","Outbound","04","Education and training","Thousand","1360"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C2","Number of Nights by Irish Residents","2009","2009","02","Outbound","07","Sporting events","Thousand","884"
"HTA01C2","Number of Nights by Irish Residents","2009","2009","02","Outbound","08","Other reasons","Thousand","2234"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","01","Domestic","-","All reasons for journey","Thousand","22540"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","01","Domestic","01","Holiday","Thousand","13981"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","01","Domestic","02","Business","Thousand","672"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","01","Domestic","03","Visiting friends/relatives","Thousand","5346"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","01","Domestic","04","Education and training","Thousand","672"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","01","Domestic","06","Work/looking for work","Thousand","275"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","01","Domestic","07","Sporting events","Thousand","478"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","01","Domestic","08","Other reasons","Thousand","1115"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","02","Outbound","-","All reasons for journey","Thousand","57473"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","02","Outbound","01","Holiday","Thousand","37657"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","02","Outbound","02","Business","Thousand","2495"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","02","Outbound","03","Visiting friends/relatives","Thousand","12415"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","02","Outbound","04","Education and training","Thousand","1160"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","02","Outbound","06","Work/looking for work","Thousand","1060"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","02","Outbound","07","Sporting events","Thousand","955"
"HTA01C2","Number of Nights by Irish Residents","2010","2010","02","Outbound","08","Other reasons","Thousand","1732"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","01","Domestic","-","All reasons for journey","Thousand","21628"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","01","Domestic","01","Holiday","Thousand","12972"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","01","Domestic","02","Business","Thousand","586"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","01","Domestic","03","Visiting friends/relatives","Thousand","5817"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","01","Domestic","04","Education and training","Thousand","395"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","01","Domestic","06","Work/looking for work","Thousand","307"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","01","Domestic","07","Sporting events","Thousand","524"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","01","Domestic","08","Other reasons","Thousand","1028"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","02","Outbound","-","All reasons for journey","Thousand","54014"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","02","Outbound","01","Holiday","Thousand","32183"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","02","Outbound","02","Business","Thousand","2714"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","02","Outbound","03","Visiting friends/relatives","Thousand","13462"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","02","Outbound","04","Education and training","Thousand","1129"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","02","Outbound","06","Work/looking for work","Thousand","1069"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","02","Outbound","07","Sporting events","Thousand","969"
"HTA01C2","Number of Nights by Irish Residents","2011","2011","02","Outbound","08","Other reasons","Thousand","2488"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","01","Domestic","-","All reasons for journey","Thousand","23703"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","01","Domestic","01","Holiday","Thousand","12771"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","01","Domestic","02","Business","Thousand","693"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","01","Domestic","03","Visiting friends/relatives","Thousand","7033"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","01","Domestic","04","Education and training","Thousand","1046"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","01","Domestic","06","Work/looking for work","Thousand","442"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","01","Domestic","07","Sporting events","Thousand","567"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","01","Domestic","08","Other reasons","Thousand","1149"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","02","Outbound","-","All reasons for journey","Thousand","53112"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","02","Outbound","01","Holiday","Thousand","34462"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","02","Outbound","02","Business","Thousand","2199"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","02","Outbound","03","Visiting friends/relatives","Thousand","10502"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","02","Outbound","04","Education and training","Thousand","1136"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","02","Outbound","06","Work/looking for work","Thousand","2078"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","02","Outbound","07","Sporting events","Thousand","1081"
"HTA01C2","Number of Nights by Irish Residents","2012","2012","02","Outbound","08","Other reasons","Thousand","1655"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","01","Domestic","-","All reasons for journey","Thousand","24195"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","01","Domestic","01","Holiday","Thousand","13986"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","01","Domestic","02","Business","Thousand","616"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","01","Domestic","03","Visiting friends/relatives","Thousand","7095"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","01","Domestic","04","Education and training","Thousand","721"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","01","Domestic","06","Work/looking for work","Thousand","266"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","01","Domestic","07","Sporting events","Thousand","495"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","01","Domestic","08","Other reasons","Thousand","1016"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","02","Outbound","-","All reasons for journey","Thousand","51985"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","02","Outbound","01","Holiday","Thousand","31726"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","02","Outbound","02","Business","Thousand","2394"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","02","Outbound","03","Visiting friends/relatives","Thousand","12141"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","02","Outbound","04","Education and training","Thousand","1001"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","02","Outbound","06","Work/looking for work","Thousand","2436"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","02","Outbound","07","Sporting events","Thousand","932"
"HTA01C2","Number of Nights by Irish Residents","2013","2013","02","Outbound","08","Other reasons","Thousand","1356"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","01","Domestic","-","All reasons for journey","Thousand","26086"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","01","Domestic","01","Holiday","Thousand","14424"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","01","Domestic","02","Business","Thousand","904"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","01","Domestic","03","Visiting friends/relatives","Thousand","7335"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","01","Domestic","04","Education and training","Thousand","745"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","01","Domestic","06","Work/looking for work","Thousand","368"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","01","Domestic","07","Sporting events","Thousand","755"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","01","Domestic","08","Other reasons","Thousand","1556"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","02","Outbound","-","All reasons for journey","Thousand","53652"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","02","Outbound","01","Holiday","Thousand","33095"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","02","Outbound","02","Business","Thousand","2980"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","02","Outbound","03","Visiting friends/relatives","Thousand","12763"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","02","Outbound","04","Education and training","Thousand","1024"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","02","Outbound","06","Work/looking for work","Thousand","1722"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","02","Outbound","07","Sporting events","Thousand","772"
"HTA01C2","Number of Nights by Irish Residents","2014","2014","02","Outbound","08","Other reasons","Thousand","1296"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","01","Domestic","-","All reasons for journey","Thousand","25267"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","01","Domestic","01","Holiday","Thousand","14751"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","01","Domestic","02","Business","Thousand","672"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","01","Domestic","03","Visiting friends/relatives","Thousand","6877"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","01","Domestic","04","Education and training","Thousand","952"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","01","Domestic","06","Work/looking for work","Thousand","259"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","01","Domestic","07","Sporting events","Thousand","630"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","01","Domestic","08","Other reasons","Thousand","1126"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","02","Outbound","-","All reasons for journey","Thousand","53515"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","02","Outbound","01","Holiday","Thousand","35276"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","02","Outbound","02","Business","Thousand","2905"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","02","Outbound","03","Visiting friends/relatives","Thousand","10298"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","02","Outbound","04","Education and training","Thousand","931"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","02","Outbound","06","Work/looking for work","Thousand","1651"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","02","Outbound","07","Sporting events","Thousand","920"
"HTA01C2","Number of Nights by Irish Residents","2015","2015","02","Outbound","08","Other reasons","Thousand","1535"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","01","Domestic","-","All reasons for journey","Thousand","25589"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","01","Domestic","01","Holiday","Thousand","15077"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","01","Domestic","02","Business","Thousand","764"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","01","Domestic","03","Visiting friends/relatives","Thousand","7238"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","01","Domestic","04","Education and training","Thousand","772"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","01","Domestic","06","Work/looking for work","Thousand","220"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","01","Domestic","07","Sporting events","Thousand","574"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","01","Domestic","08","Other reasons","Thousand","944"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","02","Outbound","-","All reasons for journey","Thousand","56748"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","02","Outbound","01","Holiday","Thousand","34957"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","02","Outbound","02","Business","Thousand","4065"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","02","Outbound","03","Visiting friends/relatives","Thousand","11841"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","02","Outbound","04","Education and training","Thousand","1179"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","02","Outbound","06","Work/looking for work","Thousand","1702"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","02","Outbound","07","Sporting events","Thousand","1163"
"HTA01C2","Number of Nights by Irish Residents","2016","2016","02","Outbound","08","Other reasons","Thousand","1842"
"HTA01C2","Number of Nights by Irish Residents","2017","2017","01","Domestic","-","All reasons for journey","Thousand","25539"
"HTA01C2","Number of Nights by Irish Residents","2017","2017","01","Domestic","01","Holiday","Thousand","13844"
"HTA01C2","Number of Nights by Irish Residents","2017","2017","01","Domestic","02","Business","Thousand","745"
"HTA01C2","Number of Nights by Irish Residents","2017","2017","01","Domestic","03","Visiting friends/relatives","Thousand","7689"
"HTA01C2","Number of Nights by Irish Residents","2017","2017","01","Domestic","04","Education and training","Thousand","1218"
"HTA01C2","Number of Nights by Irish Residents","2017","2017","01","Domestic","06","Work/looking for work","Thousand","288"
"HTA01C2","Number of Nights by Irish Residents","2017","2017","01","Domestic","07","Sporting events","Thousand","669"
"HTA01C2","Number of Nights by Irish Residents","2017","2017","01","Domestic","08","Other reasons","Thousand","1086"
"HTA01C2","Number of Nights by Irish Residents","2017","2017","02","Outbound","-","All reasons for journey","Thousand","57698"
